name,version,ecosystem,vendor
acl,2.2.53,,
acpid,2.0.30,,
apr,1.6.3,,
apr-util,1.6.1,,
audit,3,,
audit-libs,3,,
basesystem,11,,
bash,4.4.19,,
beecrypt,4.2.1,,
bind,9.11.36,,
bind-export-libs,9.11.36,,
bind-libs,9.11.36,,
bind-libs-lite,9.11.36,,
bind-license,9.11.36,,
bind-utils,9.11.36,,
binutils,2.3,,
bonnie++,1.98,,
brotli,1.0.6,,
busybox-dp,11.2.5.0,,
bzip2,1.0.6,,
bzip2-libs,1.0.6,,
c-ares,1.13.0,,
chicken,3.0.0,,
chkconfig,1.13,,
cjose,0.6.1,,
cjson,1,,
coreutils,8.3,,
coreutils-common,8.3,,
corosync,3.0.3,,
corosynclib,3.0.3,,
cpio,2.12,,
cpp,8.3.1,,
cracklib,2.9.6,,
cracklib-dicts,2.9.6,,
crontabs,1.11,,
crypto-policies,20200713,,
crypto-policies-scripts,20200713,,
curl-minimal,7.61.1,Debian,
dejavu-fonts-common,2.35,,
dejavu-sans-fonts,2.35,,
device-mapper,1.02.171,,
device-mapper-libs,1.02.171,,
device-nodes,8.0.0,,
dhcp-client,4.3.6,,
dhcp-common,4.3.6,,
dhcp-devel,4.3.6,,
dhcp-libs,4.3.6,,
dhcp-server,4.3.6,,
diffutils,3.6,,
dmidecode,3.2,,
dosfstools,4.1,,
dpdk-vm,22.11.5,,
dpdk_2211,22.11.1,,
dracut,49,,
e2fsprogs,1.45.6,,
e2fsprogs-libs,1.45.6,,
efitools,1.9.2,,
efivar,37,,
efivar-libs,37,,
elfutils-default-yama-scope,0.18,,
elfutils-libelf,0.18,,
elfutils-libs,0.18,,
envoy-proxy,v2,,
ethtool,5,,
eventlog,0.2.12,,
expat,2.2.5,,
fastlz,0.1.0,,
file,5.33,,
file-libs,5.33,,
filesystem,3.8,,
findutils,4.6.0,,
fipscheck,1.5.0,,
fipscheck-lib,1.5.0,,
flashrom,1.2,,
flatcc,0.6.1,,
fontconfig,2.13.1,,
fontpackages-filesystem,1.44,,
fping,4.2,,
freetype,2.9.1,,
frr,8.4_dpd,,
fuse,2.9.7,,
fuse-common,3.2.1,,
fuse-libs,2.9.7,,
gawk,4.2.1,,
gc,7.6.4,,
gdb,8.2,,
gdb-headless,8.2,,
gdbm,1.18,,
gdbm-libs,1.18,,
gdisk,1.0.3,,
glib2,2.56.4,,
glibc,2.27,Debian,
glibc,2.28,Debian,
glibc-common,2.27,Debian,
glibc-common,2.28,Debian,
glibc-langpack-en,2.28,Debian,
gmp,6.1.2,,
gnupg2,2.2.20,,
gnutls,3.6.16,,
google-api-python-client,1.12.8,,
google-auth,1.26.1,,
google-auth-httplib2,0.0.4,,
google-cloud-core,1.6.0,,
google-cloud-monitoring,2.0.0,,
google-cloud-storage,1.36.0,,
googleapis-common-protos,1.52.0,,
gperftools-devel,2.4,,
gperftools-libs,2.4,,
gpgme,1.13.1,,
grep,3.1,,
grpc,v1.30.0,Go,
grub,6.0.97,,
grub,7.0.97,,
grub-cfg,11.2.5.1,,
grub2-efi-aa64,2.02,,
grub2-efi-x64,2.02,,
grub2-noraid-efi-x64,2.02,,
gsoap,2.8.6,,
guile,2.0.14,,
gzip,1.9,,
hiredis,1.0.2,,
hostname,3.2,,
httpd,2.4.37,,
httpd-filesystem,2.4.37,,
httpd-tools,2.4.37,,
hwdata,0.314,,
hyperscan,4.2.0,,
hyperscan5,5.3.0,,
i2c-tools,4.3,,
ima-evm-utils,1.1,,
info,6.5,,
initscripts,8.45.17,,
initscripts-utils,8.45.17,,
insydeh2offt_x86_linux64,200.01.00.02,,
insydeh2offt_x86_linux64,200.02.00.06,,
intel-ipsec-mb,1.3.0,,
intel-ipsec-mb-devel,1.3.0,,
intel-nvm,1,,
ipcalc,0.2.4,,
iproute,5.3.0,,
iptables,1.4.21,,
iptables,1.8.4,,
iptables-libs,1.8.4,,
iptables-utils,1.4.21,,
iptables-utils,1.8.4,,
iputils,20180629,,
iputils-dp,20180629,,
irqbalance,1.4.0,,
ivykis,0.42.4,,
jansson,2.11,,
json-c,0.13.1,,
kernel-core,4.18.0,,
kernel-kdump-kdump,5.14.0,,
kernel-modules,4.18.0,,
kernel-modules-extra,4.18.0,,
kernel-octeon2-dp,3.10.87,,
kernel-octeon2-lfp,3.10.87,,
kernel-octeon2-mp,3.10.87,,
keyutils,1.5.10,,
keyutils-libs,1.5.10,,
kmod,25,,
kmod-libs,25,,
krb5-libs,1.18.2,,
krb5-workstation,1.18.2,,
lcms2,2.9,,
less,530,,
leveldb,1.22,,
libacl,2.2.53,,
libamdsecrng,3.1.0,,
libamqp,1.0.0,,
libarchive,3.3.2,,
libassuan,2.5.1,,
libatomic_ops,7.6.2,,
libattr,2.4.48,,
libbabeltrace,1.5.4,,
libblkid,2.32.1,,
libbpf,0.2.0,,
libbson,1.17.6,,
libcap,2.48,,
libcap-ng,0.7.9,,
libcom_err,1.45.6,,
libcurl-minimal,7.61.1,,
libdb,5.3.28,,
libdb-utils,5.3.28,,
libdrng,1.0.4,,
libedit,3.1,,
libedit1,2.11,,
libev,4.24,,
libevent,2.1.8,,
libfdisk,2.32.1,,
libffi,3.1,,
libftdi,1.4,,
libgcc,7.3.0,,
libgcc,8.3.1,,
libgcrypt,1.8.5,,
libgomp,8.3.1,,
libgpg-error,1.31,,
libi2c,4.3,,
libibverbs,29,,
libicu,60.3,,
libidn,1.34,,
libidn2,2.2.0,,
libipt,1.6.1,,
libjpeg-turbo,1.5.3,,
libkadm5,1.18.2,,
libknet1,1.16,,
libknet1-crypto-nss-plugin,1.16,,
libksba,1.3.5,,
libldb,2.3.0,,
liblog4shib2,2.0.0,,
libmaxminddb,1.2.0,,
libmcrypt,2.5.8,,
